"Name","age","gp","pts","Score_total"
"Elmore Spencer",27,1,0,0
"Ennis Whatley",34,3,1.3,3.9
"Jimmy Carruth",27,4,1.3,5.2
"Jimmy King",23,2,3,6
"Joe Stephens",24,2,1.5,3
"James Scott",25,8,0.1,0.8
"Chris Jent",27,3,2,6
"Cuonzo Martin",25,3,0,0
"Bruce Bowen",26,1,0,0
"Charles Jones",40,12,0.3,3.6
"Earl Cureton",39,9,0.8,7.2
"Dell Demps",27,2,1,2
"Derrick Alston",24,2,0,0
"Robert Werdann",26,6,1.5,9
"Tim Kempton",33,10,0.4,4
"Keith Tower",27,5,1.4,7
"Larry Krystkowiak",32,3,1,3
"Matt Fish",27,6,0.3,1.8
"Matt Steigenga",27,2,1.5,3
"Anthony Miller",25,1,0,0
"Michael McDonald",29,1,0,0
"Randy Livingston",23,12,0.8,9.6
"Reggie Hanson",29,8,0.8,6.4
"Kevin Salvadori",27,16,0.3,4.8
"Lawrence Moten",26,8,1.1,8.8
"Sean Higgins",29,2,0,0
"Tom Chambers",39,1,6,6
"Tim Legler",31,8,1.1,8.8
"Tim Kempton",34,8,0.5,4
"William Cunningham",24,7,1.1,7.7
"Shea Seals",22,4,1,4
"Adrian Caldwell",31,1,0,0
"Alton Lister",39,7,0.9,6.3
"Clifford Rozier",25,6,1,6
"Ben Davis",25,7,0.6,4.2
"Bob McCann",34,1,0,0
"Jimmy Oliver",28,1,5,5
"Ed Stokes",26,4,0.8,3.2
"Dontonio Wingfield",24,3,0.3,0.9
"Donald Whiteside",29,3,0.7,2.1
"Don MacLean",28,9,0.3,2.7
"Etdrick Bohannon",25,5,0,0
"Duane Ferrell",34,8,0.6,4.8
"Gheorghe Muresan",28,1,0,0
"Etdrick Bohannon",26,2,0,0
"Gary Grant",34,2,0,0
"Gerald Wilkins",35,3,0.7,2.1
"Benoit Benjamin",34,6,0.7,4.2
"Anthony Parker",24,2,1,2
"Adonis Jordan",28,4,1.5,6
"Anthony Avent",29,5,1.8,9
"Chris King",29,8,0.5,4
"Brandon Williams",24,3,0.7,2.1
"Brian Shaw",33,1,0,0
"Bruno Sundov",19,3,1.3,3.9
"Carlos Rogers",28,2,2.5,5
"Casey Shaw",23,9,0.2,1.8
"Sam Jacobson",23,2,4,8
"Paul Grant",25,6,0.7,4.2
"Peter Aluma",26,2,1,2
"Rasho Nesterovic",23,2,4,8
"Trevor Winter",25,1,0,0
"Tyson Wheeler",23,1,4,4
"William Cunningham",25,16,0.4,6.4
"Willie Burton",31,3,1.3,3.9
"Steve Henson",31,4,1,4
"Stojko Vrankovic",35,2,1,2
"Terry Mills",31,1,9,9
"Shammond Williams",24,2,1.5,3
"Jonathan Kerner",25,1,0,0
"Kelly McCarty",23,2,2,4
"Joe Wolf",34,3,0,0
"Jamie Watson",27,3,0.7,2.1
"Jimmy Oliver",29,2,1.5,3
"Mikki Moore",23,2,2,4
"Micheal Williams",32,2,1,2
"Marty Conlon",31,7,1.1,7.7
"Mark Pope",26,4,0.5,2
"Mark Macon",30,7,1.3,9.1
"Mark Davis",26,4,2.3,9.2
"Miles Simon",23,5,0.4,2
"Monty Williams",27,1,1,1
"Litterial Green",29,1,0,0
"Negele Knight",32,6,1.3,7.8
"Mark Baker",29,1,0,0
"Mario Bennett",25,3,2.3,6.9
"Michael Hawkins",27,12,0.7,8.4
"Mario Bennett",26,1,0,0
"Marty Conlon",32,3,0.7,2.1
"Kiwane Garris",25,3,1.3,3.9
"Jermaine Jackson",24,7,1,7
"Wayne Turner",24,3,1.3,3.9
"Randell Jackson",24,1,0,0
"Sean Marks",24,5,1.6,8
"Ryan Robertson",23,1,5,5
"Rodrick Rhodes",26,1,0,0
"Jason Miskiri",24,1,0,0
"Andrae Patterson",24,5,1.2,6
"Aleksandar Radojevic",23,3,2.3,6.9
"A.J. Bramlett",23,8,1,8
"Benoit Benjamin",35,3,0.7,2.1
"Ben Davis",27,5,0.8,4
"Antonio Lang",28,10,0.6,6
"Ira Bowman",27,11,0.5,5.5
"Derek Hood",23,2,0,0
"DeMarco Johnson",24,5,1.2,6
"David Wingate",36,7,0.3,2.1
"Eldridge Recasner",32,7,1,7
"Jason Hart",23,1,2,2
"John Coker",29,6,0.3,1.8
"Jamal Robinson",27,6,1,6
"Garth Joseph",27,4,0.5,2
"Ira Bowman",28,3,0,0
"Michael Hawkins",28,10,0.8,8
"Muggsy Bogues",36,3,0,0
"Lari Ketner",24,3,0,0
"Mamadou N'diaye",26,3,1.3,3.9
"Andy Panko",23,1,0,0
"Art Long",28,9,0,0
"Anthony Miller",29,4,0.5,2
"Etdrick Bohannon",28,6,1.3,7.8
"David Wingate",37,1,6,6
"Tom Hammonds",34,7,1,7
"Terrance Roberson",24,3,0,0
"Zendon Hamilton",26,3,3,9
"Randy Livingston",26,2,0,0
"Pervis Ellison",34,9,0.7,6.3
"Raja Bell",24,5,1,5
"Ratko Varda",23,1,5,5
"Randy Brown",34,1,0,0
"Matt Geiger",32,4,0.8,3.2
"Mike Penberthy",27,3,1.7,5.1
